title,link,author,rating
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,J.K. Rowling,"avg rating 4.47 — 9,357,656 ratings — published 1997"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,J.K. Rowling,"avg rating 4.43 — 3,631,567 ratings — published 1998"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,"avg rating 4.58 — 3,847,773 ratings — published 1999"
"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit,J.R.R. Tolkien,"avg rating 4.28 — 3,695,255 ratings — published 1937"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,J.K. Rowling,"avg rating 4.56 — 3,428,687 ratings — published 2000"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,"avg rating 4.50 — 3,172,870 ratings — published 2003"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,"avg rating 4.58 — 3,071,954 ratings — published 2005"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,"avg rating 4.62 — 3,493,549 ratings — published 2007"
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,"avg rating 4.44 — 2,369,785 ratings — published 1996"
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,"avg rating 4.38 — 2,700,499 ratings — published 1954"
"A Clash of Kings (A Song of Ice and Fire, #2)",https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,George R.R. Martin,"avg rating 4.41 — 895,647 ratings — published 1998"
"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,Patrick Rothfuss,4.52
"The Two Towers (The Lord of the Rings, #2)",https://www.goodreads.com/book/show/61215372-the-two-towers,J.R.R. Tolkien,"avg rating 4.47 — 899,149 ratings — published 1954"
"The Return of the King (The Lord of the Rings, #3)",https://www.goodreads.com/book/show/61215384-the-return-of-the-king,J.R.R. Tolkien,"avg rating 4.56 — 837,684 ratings — published 1955"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,Sarah J. Maas,4.2
"Six of Crows (Six of Crows, #1)",https://www.goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,4.5
"The Final Empire (Mistborn, #1)",https://www.goodreads.com/book/show/68428.The_Final_Empire,Brandon Sanderson,4.47
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,"avg rating 4.23 — 2,638,378 ratings — published 1950"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.29
"A Storm of Swords (A Song of Ice and Fire, #3)",https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,George R.R. Martin,"avg rating 4.54 — 747,462 ratings — published 2000"
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",https://www.goodreads.com/book/show/10194157-shadow-and-bone,Leigh Bardugo,3.94
"A Feast for Crows (A Song of Ice and Fire, #4)",https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,George R.R. Martin,"avg rating 4.15 — 703,451 ratings — published 2005"
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,"avg rating 4.02 — 1,472,363 ratings — published 1995"
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass,Sarah J. Maas,4.19
"Eragon (The Inheritance Cycle, #1)",https://www.goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.94
"A Dance with Dragons (A Song of Ice and Fire, #5)",https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,George R.R. Martin,"avg rating 4.33 — 626,817 ratings — published 2011"
"American Gods (American Gods, #1)",https://www.goodreads.com/book/show/30165203-american-gods,Neil Gaiman,4.11
"The Cruel Prince (The Folk of the Air, #1)",https://www.goodreads.com/book/show/26032825-the-cruel-prince,Holly Black,4.07
The Night Circus (Hardcover),https://www.goodreads.com/book/show/9361589-the-night-circus,Erin Morgenstern,4.02
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.08
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,Sarah J. Maas,4.63
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,"avg rating 3.64 — 6,201,310 ratings — published 2005"
"A Darker Shade of Magic (Shades of Magic, #1)",https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,V.E. Schwab,"avg rating 4.07 — 316,786 ratings — published 2015"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",https://www.goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,"avg rating 4.25 — 687,796 ratings — published 1990"
"The Way of Kings (The Stormlight Archive, #1)",https://www.goodreads.com/book/show/7235533-the-way-of-kings,Brandon Sanderson,4.65
"Crooked Kingdom (Six of Crows, #2)",https://www.goodreads.com/book/show/22299763-crooked-kingdom,Leigh Bardugo,4.61
Stardust (Paperback),https://www.goodreads.com/book/show/16793.Stardust,Neil Gaiman,4.1
"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,4.17
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,Sarah J. Maas,4.45
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55
The Lord of the Rings (Paperback),https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,J.R.R. Tolkien,"avg rating 4.52 — 648,101 ratings — published 1955"
"The Well of Ascension (Mistborn, #2)",https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,Brandon Sanderson,4.38
"Assassin's Apprentice (Farseer Trilogy, #1)",https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Robin Hobb,4.17
"Siege and Storm (The Shadow and Bone Trilogy, #2)",https://www.goodreads.com/book/show/14061955-siege-and-storm,Leigh Bardugo,3.83
