title,link,author,rating
Harry Potter,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,J.K. Rowling,"avg rating 4.47 — 9,363,693 ratings — published 1997"
Harry Potter,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,J.K. Rowling,"avg rating 4.43 — 3,634,143 ratings — published 1998"
Harry Potter,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,"avg rating 4.58 — 3,850,755 ratings — published 1999"
The Lord of the Rings,https://www.goodreads.com/book/show/5907.The_Hobbit,J.R.R. Tolkien,"avg rating 4.28 — 3,697,339 ratings — published 1937"
Harry Potter,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,J.K. Rowling,"avg rating 4.56 — 3,431,042 ratings — published 2000"
Harry Potter,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,"avg rating 4.50 — 3,174,811 ratings — published 2003"
Harry Potter,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,"avg rating 4.58 — 3,073,789 ratings — published 2005"
Harry Potter,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,"avg rating 4.62 — 3,495,514 ratings — published 2007"
A Song of Ice and Fire,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,"avg rating 4.44 — 2,370,884 ratings — published 1996"
The Lord of the Rings,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,"avg rating 4.38 — 2,701,544 ratings — published 1954"
A Song of Ice and Fire,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,George R.R. Martin,"avg rating 4.41 — 896,007 ratings — published 1998"
The Kingkiller Chronicle,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,Patrick Rothfuss,4.52
The Lord of the Rings,https://www.goodreads.com/book/show/61215372-the-two-towers,J.R.R. Tolkien,"avg rating 4.47 — 899,787 ratings — published 1954"
The Lord of the Rings,https://www.goodreads.com/book/show/61215384-the-return-of-the-king,J.R.R. Tolkien,"avg rating 4.56 — 838,361 ratings — published 1955"
A Court of Thorns and Roses,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,Sarah J. Maas,4.2
Six of Crows,https://www.goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,4.5
Mistborn,https://www.goodreads.com/book/show/68428.The_Final_Empire,Brandon Sanderson,4.47
Chronicles of Narnia,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,"avg rating 4.23 — 2,639,692 ratings — published 1950"
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.29
A Song of Ice and Fire,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,George R.R. Martin,"avg rating 4.54 — 747,734 ratings — published 2000"
The Shadow and Bone Trilogy,https://www.goodreads.com/book/show/10194157-shadow-and-bone,Leigh Bardugo,3.94
A Song of Ice and Fire,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,George R.R. Martin,"avg rating 4.15 — 703,714 ratings — published 2005"
His Dark Materials,https://www.goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,"avg rating 4.02 — 1,472,852 ratings — published 1995"
Throne of Glass,https://www.goodreads.com/book/show/76703559-throne-of-glass,Sarah J. Maas,4.19
The Inheritance Cycle,https://www.goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.94
A Song of Ice and Fire,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,George R.R. Martin,"avg rating 4.33 — 627,023 ratings — published 2011"
American Gods,https://www.goodreads.com/book/show/30165203-american-gods,Neil Gaiman,
The Folk of the Air,https://www.goodreads.com/book/show/26032825-the-cruel-prince,Holly Black,4.07
The Night Circus (Hardcover),https://www.goodreads.com/book/show/9361589-the-night-circus,Erin Morgenstern,4.02
The Mortal Instruments,https://www.goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.08
A Court of Thorns and Roses,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,Sarah J. Maas,4.63
The Twilight Saga,https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,"avg rating 3.64 — 6,204,699 ratings — published 2005"
Shades of Magic,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,V.E. Schwab,"avg rating 4.07 — 317,242 ratings — published 2015"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",https://www.goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,"avg rating 4.25 — 688,280 ratings — published 1990"
The Stormlight Archive,https://www.goodreads.com/book/show/7235533-the-way-of-kings,Brandon Sanderson,4.65
Six of Crows,https://www.goodreads.com/book/show/22299763-crooked-kingdom,Leigh Bardugo,4.61
Stardust (Paperback),https://www.goodreads.com/book/show/16793.Stardust,Neil Gaiman,4.1
London Below,https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,4.17
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24
A Court of Thorns and Roses,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,Sarah J. Maas,4.45
The Kingkiller Chronicle,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55
The Lord of the Rings (Paperback),https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,J.R.R. Tolkien,"avg rating 4.52 — 648,349 ratings — published 1955"
Mistborn,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,Brandon Sanderson,4.38
Farseer Trilogy,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Robin Hobb,4.17
The Shadow and Bone Trilogy,https://www.goodreads.com/book/show/14061955-siege-and-storm,Leigh Bardugo,3.83
Gentleman Bastard,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,Scott Lynch,4.3
Harry Potter,https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child,J.K. Rowling,"avg rating 3.50 — 953,245 ratings — published 2016"
Throne of Glass,https://www.goodreads.com/book/show/76705490-crown-of-midnight,Sarah J. Maas,4.35
The Ocean at the End of the Lane (Hardcover),https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,Neil Gaiman,4.02
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,Rick Riordan,4.36
Graceling Realm,https://www.goodreads.com/book/show/3236307-graceling,Kristin Cashore,"avg rating 4.07 — 445,691 ratings — published 2008"
Red Queen,https://www.goodreads.com/book/show/22328546-red-queen,Victoria Aveyard,4.02
Uprooted (Hardcover),https://www.goodreads.com/book/show/22544764-uprooted,Naomi Novik,4.04
Discworld,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,Terry Pratchett,"avg rating 4.00 — 370,077 ratings — published 1983"
The Princess Bride (Paperback),https://www.goodreads.com/book/show/21787.The_Princess_Bride,William Goldman,"avg rating 4.26 — 874,368 ratings — published 1973"
Earthsea Cycle,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,Ursula K. Le Guin,"avg rating 4.01 — 297,036 ratings — published 1968"
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,Rick Riordan,4.42
Howl’s Moving Castle,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Diana Wynne Jones,"avg rating 4.29 — 312,207 ratings — published 1986"
His Dark Materials,https://www.goodreads.com/book/show/41637836-the-subtle-knife,Philip Pullman,"avg rating 4.14 — 422,135 ratings — published 1997"
The Hunger Games,https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,"avg rating 4.33 — 8,042,079 ratings — published 2008"
The Shadow and Bone Trilogy,https://www.goodreads.com/book/show/14061957-ruin-and-rising,Leigh Bardugo,4.01
The Broken Earth,https://www.goodreads.com/book/show/19161852-the-fifth-season,N.K. Jemisin,4.31
The Witcher,https://www.goodreads.com/book/show/40603587-the-last-wish,Andrzej Sapkowski,"avg rating 4.14 — 319,011 ratings — published 1993"
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.54
