title,link,author,rating,genres
The Elric Saga,https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_,Michael Moorcock,3.89,"['sword-and-sorcery', 'epic-fantasy', 'science-fiction-fantasy', 'dark-fantasy', 'high-fantasy']"
Monsters,https://www.goodreads.com/book/show/58210340-only-a-monster,Vanessa Len,3.89,"['young-adult', 'romance', 'young-adult-fantasy', 'paranormal', 'urban-fantasy', 'time-travel']"
Cassidy Blake,https://www.goodreads.com/book/show/35403058-city-of-ghosts,Victoria Schwab,3.89,"['middle-grade', 'paranormal', 'young-adult', 'horror', 'ghosts']"
The Queens of Renthia,https://www.goodreads.com/book/show/25036395-the-queen-of-blood,Sarah Beth Durst,3.89,"['young-adult', 'magic', 'high-fantasy', 'young-adult-fantasy', 'adult']"
The Wolves of Mercy Falls,https://www.goodreads.com/book/show/9409458-forever,Maggie Stiefvater,3.89,"['young-adult', 'romance', 'paranormal', 'werewolves', 'paranormal-romance']"
Ash Princess Trilogy,https://www.goodreads.com/book/show/32505753-ash-princess,Laura Sebastian,3.88,"['young-adult', 'romance', 'young-adult-fantasy', 'magic', 'high-fantasy']"
Snow Like Ashes,https://www.goodreads.com/book/show/17399160-snow-like-ashes,Sara Raasch,3.88,"['young-adult', 'romance', 'magic', 'young-adult-fantasy', 'high-fantasy']"
The Merciful Crow,https://www.goodreads.com/book/show/36483378-the-merciful-crow,Margaret Owen,3.88,"['young-adult', 'young-adult-fantasy', 'romance', 'magic', 'lgbt']"
Rogues (Hardcover),https://www.goodreads.com/book/show/20168816-rogues,George R.R. Martin,3.88,"['short-stories', 'anthologies', 'science-fiction', 'mystery', 'science-fiction-fantasy']"
The Book of Tea,https://www.goodreads.com/book/show/56978089-a-magic-steeped-in-poison,Judy I. Lin,3.88,"['young-adult', 'mythology', 'young-adult-fantasy', 'magic', 'historical-fiction']"
Hunted (Kindle Edition),https://www.goodreads.com/book/show/24485589-hunted,Meagan Spooner,3.88,"['young-adult', 'retellings', 'romance', 'fairy-tales', 'young-adult-fantasy']"
The Last Dragonslayer,https://www.goodreads.com/book/show/13316328-the-last-dragonslayer,Jasper Fforde,3.88,"['young-adult', 'dragons', 'humor', 'magic', 'adventure']"
Trylle,https://www.goodreads.com/book/show/12180581-switched,Amanda Hocking,3.87,"['young-adult', 'paranormal', 'romance', 'urban-fantasy', 'paranormal-romance']"
The Darkest Part of the Forest (Hardcover),https://www.goodreads.com/book/show/20958632-the-darkest-part-of-the-forest,Holly Black,3.87,"['young-adult', 'romance', 'fae', 'lgbt', 'urban-fantasy']"
The Binding (Hardcover),https://www.goodreads.com/book/show/39964740-the-binding,Bridget Collins,3.87,"['historical-fiction', 'romance', 'lgbt', 'historical', 'magical-realism']"
The Kingston Cycle,https://www.goodreads.com/book/show/36187110-witchmark,C.L. Polk,3.87,"['romance', 'lgbt', 'queer', 'mystery', 'historical-fiction']"
Tales of Alvin Maker,https://www.goodreads.com/book/show/40290.Seventh_Son,Orson Scott Card,3.87,"['alternate-history', 'science-fiction', 'historical-fiction', 'science-fiction-fantasy', 'historical']"
The Ladies of Grace Adieu and Other Stories (Hardcover),https://www.goodreads.com/book/show/15161.The_Ladies_of_Grace_Adieu_and_Other_Stories,Susanna Clarke,3.87,"['short-stories', 'historical-fiction', 'historical', 'magic', 'fairy-tales']"
The Wicked Deep (Hardcover),https://www.goodreads.com/book/show/35297394-the-wicked-deep,Shea Ernshaw,3.86,"['young-adult', 'paranormal', 'witches', 'romance', 'young-adult-fantasy']"
The History of Middle-Earth,https://www.goodreads.com/book/show/7347.The_Book_of_Lost_Tales_Part_One,J.R.R. Tolkien,3.86,"['classics', 'high-fantasy', 'science-fiction-fantasy', 'short-stories', 'epic-fantasy']"
Fallen,https://www.goodreads.com/book/show/9369720-passion,Lauren Kate,3.86,"['young-adult', 'angels', 'paranormal', 'paranormal-romance', 'supernatural']"
Flame in the Mist,https://www.goodreads.com/book/show/23308087-flame-in-the-mist,RenĂ©e Ahdieh,3.86,"['young-adult', 'romance', 'retellings', 'young-adult-fantasy', 'historical-fiction']"
The Starless Sea (Hardcover),https://www.goodreads.com/book/show/43575115-the-starless-sea,Erin Morgenstern,3.86,"['magical-realism', 'adult', 'romance', 'lgbt']"
The Shadows Between Us,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,Tricia Levenseller,3.86,"['romance', 'young-adult', 'young-adult-fantasy', 'fantasy-romance', 'magic']"
The Saga of Recluce,https://www.goodreads.com/book/show/185253.The_Magic_of_Recluce,L.E. Modesitt Jr.,3.86,"['epic-fantasy', 'high-fantasy', 'magic', 'science-fiction-fantasy', 'adventure']"
Entwined (Hardcover),https://www.goodreads.com/book/show/8428195-entwined,Heather Dixon Wallwork,3.86,"['young-adult', 'romance', 'retellings', 'fairy-tales', 'magic']"
Uglies,https://www.goodreads.com/book/show/24770.Uglies,Scott Westerfeld,3.85,"['young-adult', 'dystopia', 'science-fiction', 'romance', 'teen']"
The Shadow Game,https://www.goodreads.com/book/show/30238163-ace-of-shades,Amanda Foody,3.85,"['young-adult', 'young-adult-fantasy', 'romance', 'lgbt', 'mystery']"
The Chronicles of Alice,https://www.goodreads.com/book/show/23398606-alice,Christina Henry,3.85,"['horror', 'retellings', 'adult', 'dark', 'magic']"
Jonathan Strange & Mr Norrell (Paperback),https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Susanna Clarke,3.85,"['historical-fiction', 'historical', 'magic', 'science-fiction-fantasy', 'alternate-history']"
Frankenstein: The 1818 Text (Paperback),https://www.goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.85,"['classics', 'horror', 'science-fiction', 'gothic', 'school']"
The Metamorphosis (Paperback),https://www.goodreads.com/book/show/485894.The_Metamorphosis,Franz Kafka,3.85,"['classics', 'philosophy', 'literature', 'short-stories', 'school']"
The Host,https://www.goodreads.com/book/show/1656001.The_Host,Stephenie Meyer,3.85,"['young-adult', 'science-fiction', 'romance', 'dystopia', 'paranormal']"
The 7Â˝ Deaths of Evelyn Hardcastle (Hardcover),https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle,Stuart Turton,3.85,"['mystery', 'thriller', 'mystery-thriller', 'crime']"
Magic of the Lost,https://www.goodreads.com/book/show/54467051-the-unbroken,C.L. Clark,3.84,"['lgbt', 'lesbian', 'queer', 'adult', 'romance']"
The Memoirs of Lady Trent,https://www.goodreads.com/book/show/12974372-a-natural-history-of-dragons,Marie Brennan,3.84,"['dragons', 'historical-fiction', 'historical', 'adventure']"
Hades & Persephone,https://www.goodreads.com/book/show/55215339-a-touch-of-darkness,Scarlett St. Clair,3.84,"['romance', 'mythology', 'retellings', 'greek-mythology', 'fantasy-romance']"
Young Wizards,https://www.goodreads.com/book/show/116563.So_You_Want_to_Be_a_Wizard,Diane Duane,3.84,"['young-adult', 'magic', 'urban-fantasy', 'middle-grade', 'childrens']"
Frostblood Saga,https://www.goodreads.com/book/show/27827203-frostblood,Elly Blake,3.84,"['young-adult', 'romance', 'young-adult-fantasy', 'magic', 'high-fantasy']"
Sunshine (Mass Market Paperback),https://www.goodreads.com/book/show/8088.Sunshine,Robin McKinley,3.84,"['vampires', 'urban-fantasy', 'paranormal', 'horror', 'young-adult']"
The Bone Clocks (Hardcover),https://www.goodreads.com/book/show/20819685-the-bone-clocks,David Mitchell,3.84,"['science-fiction', 'literary-fiction', 'magical-realism', 'contemporary', 'dystopia']"
The Coldest Girl in Coldtown (Hardcover),https://www.goodreads.com/book/show/12813630-the-coldest-girl-in-coldtown,Holly Black,3.84,"['young-adult', 'vampires', 'paranormal', 'horror', 'urban-fantasy', 'romance']"
Mooncakes (Paperback),https://www.goodreads.com/book/show/44774415-mooncakes,Suzanne Walker,3.83,"['graphic-novels', 'lgbt', 'young-adult', 'romance', 'comics', 'queer']"
Modern Faerie Tales,https://www.goodreads.com/book/show/266607.Valiant,Holly Black,3.83,"['young-adult', 'urban-fantasy', 'fairies', 'fae', 'romance']"
The Crown's Game,https://www.goodreads.com/book/show/26156203-the-crown-s-game,Evelyn Skye,3.83,"['young-adult', 'historical-fiction', 'romance', 'magic', 'young-adult-fantasy', 'historical']"
A Chorus of Dragons,https://www.goodreads.com/book/show/39863237-the-ruin-of-kings,Jenn Lyons,3.83,"['dragons', 'adult', 'high-fantasy', 'epic-fantasy', 'magic']"
The Books of Ambha,https://www.goodreads.com/book/show/39714124-empire-of-sand,Tasha Suri,3.83,"['romance', 'adult', 'young-adult', 'high-fantasy', 'magic']"
Hell's Library,https://www.goodreads.com/book/show/41961994-the-library-of-the-unwritten,A.J. Hackwith,3.83,"['books-about-books', 'adult', 'lgbt', 'queer', 'urban-fantasy']"
Caster Chronicles,https://www.goodreads.com/book/show/7842288-beautiful-darkness,Kami Garcia,3.83,"['young-adult', 'paranormal', 'romance', 'magic', 'supernatural']"
The Extraordinary Adventures of the Athena Club,https://www.goodreads.com/book/show/34728925-the-strange-case-of-the-alchemist-s-daughter,Theodora Goss,3.82,"['mystery', 'historical-fiction', 'historical', 'young-adult', 'science-fiction']"
Girls of Paper and Fire,https://www.goodreads.com/book/show/34433755-girls-of-paper-and-fire,Natasha Ngan,3.82,"['young-adult', 'lgbt', 'romance', 'lesbian', 'queer', 'young-adult-fantasy']"
Ariadne (Hardcover),https://www.goodreads.com/book/show/54860614-ariadne,Jennifer Saint,3.82,"['mythology', 'greek-mythology', 'historical-fiction', 'retellings', 'historical']"
