title,link,author,rating
Cassidy Blake,https://www.goodreads.com/book/show/35403058-city-of-ghosts,Victoria Schwab,3.89
Monsters,https://www.goodreads.com/book/show/58210340-only-a-monster,Vanessa Len,3.89
The Sleeper and the Spindle ,https://www.goodreads.com/book/show/23301545-the-sleeper-and-the-spindle,Neil Gaiman,3.89
The Radiant Emperor,https://www.goodreads.com/book/show/48727813-she-who-became-the-sun,Shelley Parker-Chan,3.89
The Wolves of Mercy Falls,https://www.goodreads.com/book/show/9409458-forever,Maggie Stiefvater,3.89
Ash Princess Trilogy,https://www.goodreads.com/book/show/32505753-ash-princess,Laura Sebastian,3.88
The Merciful Crow,https://www.goodreads.com/book/show/36483378-the-merciful-crow,Margaret Owen,3.88
The Book of Tea,https://www.goodreads.com/book/show/56978089-a-magic-steeped-in-poison,Judy I. Lin,3.88
The Last Dragonslayer,https://www.goodreads.com/book/show/13316328-the-last-dragonslayer,Jasper Fforde,3.88
Hunted ,https://www.goodreads.com/book/show/24485589-hunted,Meagan Spooner,3.88
Snow Like Ashes,https://www.goodreads.com/book/show/17399160-snow-like-ashes,Sara Raasch,3.88
Rogues ,https://www.goodreads.com/book/show/20168816-rogues,George R.R. Martin,3.88
Tales of Alvin Maker,https://www.goodreads.com/book/show/40290.Seventh_Son,Orson Scott Card,3.87
The Kingston Cycle,https://www.goodreads.com/book/show/36187110-witchmark,C.L. Polk,3.87
The Ladies of Grace Adieu and Other Stories ,https://www.goodreads.com/book/show/15161.The_Ladies_of_Grace_Adieu_and_Other_Stories,Susanna Clarke,3.87
Trylle,https://www.goodreads.com/book/show/12180581-switched,Amanda Hocking,3.87
The Darkest Part of the Forest ,https://www.goodreads.com/book/show/20958632-the-darkest-part-of-the-forest,Holly Black,3.87
The Binding ,https://www.goodreads.com/book/show/39964740-the-binding,Bridget Collins,3.87
Flame in the Mist,https://www.goodreads.com/book/show/23308087-flame-in-the-mist,RenĂ©e Ahdieh,3.86
The Saga of Recluce,https://www.goodreads.com/book/show/185253.The_Magic_of_Recluce,L.E. Modesitt Jr.,3.86
Fallen,https://www.goodreads.com/book/show/9369720-passion,Lauren Kate,3.86
The Shadows Between Us,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,Tricia Levenseller,3.86
The Wicked Deep ,https://www.goodreads.com/book/show/35297394-the-wicked-deep,Shea Ernshaw,3.86
Entwined ,https://www.goodreads.com/book/show/8428195-entwined,Heather Dixon Wallwork,3.86
The Starless Sea ,https://www.goodreads.com/book/show/43575115-the-starless-sea,Erin Morgenstern,3.86
The Host,https://www.goodreads.com/book/show/1656001.The_Host,Stephenie Meyer,3.85
The Chronicles of Alice,https://www.goodreads.com/book/show/23398606-alice,Christina Henry,3.85
